MONTH,DAY,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,OLATITUDE,OLONGITUDE,DESTINATION_AIRPORT,DLATITUDE,DLONGITUDE,SCHEDULED_DEPARTURE,DEPARTURE_TIME,Departure,SCHEDULED_ARRIVAL,ARRIVAL_DELAY,CANCELLED,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
1,2,B6,83,JFK,40.63975,-73.77893,MCO,28.42889,-81.31603,1529,1617,16.28333333,1835,23,0,0,0,4,19,0
1,2,AA,2285,JFK,40.63975,-73.77893,MCO,28.42889,-81.31603,1459,1453,14.88333333,1754,24,0,24,0,0,0,0
1,2,DL,1585,LGA,40.63975,-73.77893,MCO,28.42889,-81.31603,1730,1812,18.2,2038,26,0,0,0,26,0,0
1,2,DL,2285,LGA,40.63975,-73.77893,MCO,28.42889,-81.31603,705,840,8.666666667,1009,89,0,0,0,89,0,0
1,2,DL,1885,LGA,40.63975,-73.77893,MCO,28.42889,-81.31603,905,1405,14.08333333,1218,284,0,0,0,284,0,0
1,2,WN,2146,LGA,40.63975,-73.77893,MDW,41.78598,-87.75242,630,636,6.6,800,19,0,13,0,6,0,0
1,2,AA,1246,LGA,40.63975,-73.77893,MIA,25.79325,-80.29056,1530,1524,15.4,1857,24,0,24,0,0,0,0
1,2,AA,1483,LGA,40.63975,-73.77893,MIA,25.79325,-80.29056,1945,2026,20.43333333,2257,27,0,0,0,14,13,0
1,2,DL,1923,LGA,40.63975,-73.77893,MIA,25.79325,-80.29056,1415,1548,15.8,1737,71,0,0,0,7,64,0
1,2,WN,578,LGA,40.63975,-73.77893,MKE,42.94722,-87.89658,1725,1747,17.78333333,1905,15,0,0,0,9,6,0
1,2,WN,4551,LGA,40.63975,-73.77893,MKE,42.94722,-87.89658,2025,2041,20.68333333,2200,22,0,6,0,0,16,0
1,2,DL,1819,LGA,40.63975,-73.77893,MSP,44.88055,-93.21692,1430,1454,14.9,1639,33,0,9,0,12,12,0
1,2,DL,2319,LGA,40.63975,-73.77893,MSP,44.88055,-93.21692,1010,1224,12.4,1230,133,0,0,0,133,0,0
1,2,B6,675,JFK,40.63975,-73.77893,MSY,29.99339,-90.25803,633,626,6.433333333,904,20,0,20,0,0,0,0
1,2,B6,167,JFK,40.63975,-73.77893,OAK,37.72129,-122.22072,1659,1723,17.38333333,2032,39,0,15,0,0,24,0
1,2,AA,335,LGA,40.63975,-73.77893,ORD,41.9796,-87.90446,1310,1348,13.8,1455,23,0,0,0,23,0,0
1,2,MQ,3169,JFK,40.63975,-73.77893,ORF,36.89461,-76.20122,1530,1525,15.41666667,1658,47,0,47,0,0,0,0
1,2,B6,2053,JFK,40.63975,-73.77893,PBI,26.68316,-80.09559,2158,2210,22.16666667,50,18,0,6,0,0,12,0
1,2,DL,2303,JFK,40.63975,-73.77893,PDX,45.58872,-122.5975,1928,1932,19.53333333,2257,20,0,20,0,0,0,0
1,2,B6,1205,JFK,40.63975,-73.77893,PDX,45.58872,-122.5975,2040,2038,20.63333333,2359,21,0,21,0,0,0,0
1,2,DL,2405,JFK,40.63975,-73.77893,PHX,33.43417,-112.00806,2035,2046,20.76666667,23,23,0,12,0,11,0,0
1,2,US,639,JFK,40.63975,-73.77893,PHX,33.43417,-112.00806,1620,1634,16.56666667,2000,60,0,46,0,14,0,0
1,2,MQ,3374,JFK,40.63975,-73.77893,RDU,35.87764,-78.78747,1945,2015,20.25,2128,21,0,5,0,0,16,0
1,2,MQ,3295,JFK,40.63975,-73.77893,RDU,35.87764,-78.78747,1459,1448,14.8,1647,23,0,23,0,0,0,0
1,2,DL,2175,LGA,40.63975,-73.77893,RSW,26.53617,-81.75517,1130,1225,12.41666667,1454,27,0,0,0,27,0,0
1,2,DL,2077,LGA,40.63975,-73.77893,RSW,26.53617,-81.75517,1505,1615,16.25,1839,37,0,4,0,33,0,0
1,2,DL,2616,JFK,40.63975,-73.77893,SAN,32.73356,-117.18966,1845,1910,19.16666667,2205,15,0,0,0,11,4,0
1,2,DL,2506,JFK,40.63975,-73.77893,SAN,32.73356,-117.18966,825,912,9.2,1148,27,0,27,0,0,0,0
1,2,EV,5459,LGA,40.63975,-73.77893,SAV,32.12758,-81.20214,1350,1346,13.76666667,1617,37,0,37,0,0,0,0
1,2,MQ,3616,LGA,40.63975,-73.77893,SDF,38.17439,-85.736,1900,1851,18.85,2108,16,0,16,0,0,0,0
1,2,DL,442,JFK,40.63975,-73.77893,SEA,47.44898,-122.30931,900,914,9.233333333,1226,15,0,1,0,14,0,0
1,2,DL,425,JFK,40.63975,-73.77893,SEA,47.44898,-122.30931,1855,1851,18.85,2218,19,0,19,0,0,0,0
